"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KO:K00001",75.5695474998114,-0.785659020811761,0.983229088839301,-0.799059984829405,0.424255630830436,0.813339810400317
"KO:K00002",1.33950888823016,-5.49169971785144,5.32245454607999,-1.03179833107191,0.302166601274274,NA
"KO:K00003",75.363265623648,1.1764291501744,0.78357412836236,1.50136293120485,0.133261716139855,0.518473553856429
"KO:K00004",2.02984306468287,1.34992323785003,3.13876491085376,0.430081027471039,0.667136700631342,NA
"KO:K00005",0.310688022575865,0,5.36628923067575,0,1,NA
"KO:K00006",2.21542328222881,-2.71424934175206,5.3284794694955,-0.509385342908911,0.610482148043358,NA
"KO:K00007",0.086910669480936,0,5.36208804147598,0,1,NA
"KO:K00008",97.0675965232775,-1.62091421242781,0.825362941096569,-1.96388053269544,0.0495439479415946,0.319917290373298
"KO:K00009",19.1140745114698,-5.68044824577627,2.45875532185816,-2.31029423516748,0.0208718698777366,0.188355898896647
"KO:K00010",15.7511060599252,-1.63992648162645,1.48550719567344,-1.10395054726275,0.269614590279087,0.680009532401243
"KO:K00011",0.285185209854295,0.376933335358923,5.33414936709929,0.0706641883116031,0.943665023145141,NA
"KO:K00012",285.206826693076,-1.44081104342563,0.46596381899629,-3.09210926833163,0.00198739679226352,0.0391136602732713
"KO:K00013",75.6972222850084,-0.929868768477813,1.03626352052107,-0.897328478773663,0.369543664307749,0.772299497787733
"KO:K00014",58.1391339819657,-3.84520116522281,1.26893785154645,-3.03025176570836,0.00244349957624608,0.0449798429458233
"KO:K00015",36.7991645212292,-1.13388492253463,1.37596611357123,-0.824064569142411,0.409902870660346,0.803305413900042
"KO:K00016",9.55495284563936,-1.37914614798708,1.39171898760112,-0.990965963871982,0.321702200280705,0.730692535935303
"KO:K00018",4.93536347952415,2.21124890457601,1.64663767121913,1.34288735356021,0.179308452010355,0.57640423322182
"KO:K00019",78.3011008145307,2.79697627154596,0.865916518797435,3.23007612261553,0.00123757262803681,0.0270947853475515
"KO:K00020",74.8220996422423,-0.68444202595526,0.839603895496555,-0.815196343926525,0.414959930308117,0.805113656077625
"KO:K00021",5.49804092755795,1.01170923798181,2.18828155291614,0.46233046960232,0.643844352481561,0.925420011358723
"KO:K00022",0.506352594499021,0,5.36840934263836,0,1,NA
"KO:K00023",199.176997556052,1.63077296977576,0.765177753812808,2.13123416310756,0.0330698558529782,0.24126285641863
"KO:K00024",898.218200172182,0.56323391566263,0.905815081314546,0.621797900345453,0.534074767139436,0.872895563696123
"KO:K00025",0.352275570870702,0,5.36852661503818,0,1,NA
"KO:K00026",27.8815895867361,1.32661794471412,2.87372585187163,0.461636917749166,0.64434171549667,0.925490818065869
"KO:K00027",131.965869152158,-0.314582101927811,0.798770369653203,-0.3938329636143,0.693704365723377,0.942842378899773
