Feature,3300044942_P34SSC2_190917_f,3300044943_P34SSC2_190917_i,3300044944_P34SSC2_190917_c,3300044945_P34SSC2_191111_f,3300045458_P15SSC1_190915_i,3300045459_P15SSC1_191107_f,3300045460_P15SSC1_191107_i,3300045461_P24SSC2_190915_c,3300045462_P24SSC2_190915_f,3300045463_P24SSC2_190915_i,3300045464_P24SSC2_191109_c,3300045465_P24SSC2_191109_i,3300045466_P26SSC2_190918_c,3300045467_P26SSC2_190918_f,3300045468_P26SSC2_190918_i,3300045469_P26SSC2_191112_c,3300045470_P26SSC2_191112_f,3300045471_P35SSC1_191108_f,3300045472_P35SSC1_191108_i,3300045473_P26SSC2_191112_i,3300046191_P34SSC2_191111_c,3300048051_P15SSCI_191107_c,3300048052_P35SSC1_190914_c,3300048053_P35SSC1_190914_i,3300048054_P35SSC1_191108_c,3300048092_P11SSC1_190916_c,3300048093_P11SSC1_190916_f,3300048094_P11SSC1_190916_i,3300048095_P11SSC1_191119_f,3300048096_P11SSC1_191119_i,3300048099_P15SSC1_190912_c,3300048100_P15SSC1_190913_f
KO:K01488,167,96,16,0,25,26,31,7,111,76,43,190,19,37,0,57,23,47,44,80,26,0,0,9,0,78,90,117,82,140,37,84
KO:K01489,72,28,62,7,61,0,19,46,69,52,50,25,0,82,0,27,65,25,10,86,0,0,0,0,6,5,43,6,29,43,32,78
KO:K01490,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K01491,450,249,54,41,1539,13,0,39,291,100,104,45,51,101,16,89,106,152,222,171,29,93,3,10,0,128,253,229,144,92,88,232
KO:K01493,70,62,29,0,48,0,13,0,35,32,20,0,0,10,0,0,10,43,51,8,0,72,0,0,0,15,34,62,0,9,14,19
KO:K01494,789,315,151,101,359,19,10,95,231,185,162,50,166,270,30,111,266,282,280,240,178,0,38,44,25,274,200,227,225,106,208,220
KO:K01495,1090,300,115,175,642,121,119,191,814,353,321,119,151,380,56,199,444,499,367,419,157,381,29,14,20,278,327,288,414,232,227,325
KO:K01496,168,81,8,0,63,0,0,0,79,37,91,6,0,48,0,30,0,54,147,56,12,107,0,12,0,20,16,56,46,25,29,79
KO:K01497,1303,87,13,139,79,24,16,27,134,32,64,61,0,48,0,21,93,68,86,80,90,0,0,3,0,18,85,33,88,94,42,0
KO:K01499,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0
KO:K01501,150,64,3,17,36,0,0,0,112,59,19,0,0,19,0,6,32,64,87,0,4,0,0,0,0,44,55,47,0,0,39,79
KO:K01502,17,0,0,0,8,15,0,0,6,62,0,0,0,14,0,0,6,8,3,0,3,0,0,0,0,0,0,0,3,0,5,16
KO:K01505,11,11,0,0,7,0,0,0,12,4,33,0,0,0,0,0,7,8,43,11,0,0,0,0,0,0,8,0,11,4,0,0
KO:K01507,524,244,70,60,319,463,173,53,237,177,282,287,71,117,57,168,90,108,170,336,64,74,3,14,24,146,306,277,264,247,111,398
KO:K01512,93,70,59,6,98,0,0,13,44,158,0,45,47,51,0,0,23,24,51,6,0,203,0,5,0,160,116,155,69,25,84,71
KO:K01515,270,128,33,0,232,24,136,14,104,40,5,2,0,45,0,34,31,109,133,38,23,7,0,15,13,61,91,62,98,107,12,157
KO:K01518,129,32,0,25,33,0,0,0,41,0,0,18,0,119,51,0,17,206,5,0,7,0,4,0,0,10,130,211,28,0,24,0
KO:K01520,256,66,29,6,56,34,5,8,134,76,28,19,28,37,0,6,36,82,77,84,0,48,0,35,0,55,155,106,74,36,31,123
KO:K01523,121,99,0,20,30,102,18,9,99,16,168,19,0,22,0,0,0,0,121,81,5,0,0,9,0,14,79,146,61,43,9,84
KO:K01524,322,120,20,38,228,30,40,23,143,39,25,59,30,119,0,45,84,67,158,97,65,126,0,16,0,19,133,247,2173,95,94,219
KO:K01525,101,53,25,5,9,0,0,7,73,27,13,0,26,0,0,23,0,8,129,15,2,0,0,2,0,12,46,49,6,12,3,51
KO:K01526,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
KO:K01527,6,0,0,0,0,0,14,0,11,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,19
KO:K01530,5,0,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
KO:K01531,57,18,0,0,4,0,0,0,50,0,0,0,0,6,0,0,18,20,7,23,20,66,0,0,0,0,98,257,0,0,0,0
KO:K01533,1544,1209,45,55,835,78,40,301,1764,159,331,2256,80,228,0,137,127,1134,359,101,29,231,18,42,24,780,608,436,616,118,420,258
KO:K01534,261,131,15,36,109,0,0,30,139,17,15,14,17,96,15,3,63,84,57,94,28,0,0,12,0,249,269,164,239,133,43,110
KO:K01535,22,0,4,57,169,32,523,0,19,0,351,1149,15,9,16,0,44,69,0,439,27,149,0,0,0,0,0,4,9,387,0,3
KO:K01537,1567,435,49,25,295,6,125,38,437,278,10,147,13,260,27,16,98,191,313,283,32,188,10,47,0,226,28689,876,125,224,92,1146
KO:K01539,49,0,0,0,13,0,0,0,0,5,0,24,0,0,0,8,0,0,3,0,0,0,0,0,0,0,42,10,0,0,0,0
KO:K01540,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K01546,141,0,0,0,104,0,0,0,0,54,0,7,19,74,0,9,6,0,0,6,2,0,0,0,0,25,59,12,3,0,10,4
KO:K01547,96,0,0,0,48,0,0,3,0,12,24,0,0,50,0,5,2,0,3,27,6,0,0,0,0,8,17,25,43,0,0,0
KO:K01548,29,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,0,17,11,20,7,0,3
KO:K01549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
KO:K01551,77,6,0,4,401,16,0,0,49,0,0,0,6,4,0,48,0,6,7,0,4,784,0,0,0,4,91,109,38,53,22,16
KO:K01555,58,24,0,6,40,73,0,0,50,7,101,0,0,0,0,0,0,8,158,29,0,0,0,15,0,38,22,57,13,17,33,58
KO:K01556,60,14,0,0,44,0,0,6,30,4,0,0,11,3,0,0,16,8,15,4,3,0,0,3,0,5,21,13,48,33,7,10
KO:K01557,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K01560,396,135,33,17,150,23,7,50,93,93,52,39,74,124,0,14,61,71,5,34,56,0,5,0,0,134,239,156,94,86,67,287
KO:K01561,106,60,44,0,90,0,0,34,37,56,0,4,44,64,0,22,40,3,20,12,4,0,0,0,0,85,48,46,61,40,28,97
KO:K01562,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,4,0,0,0,0,0,0,0,0,0,0,0
KO:K01563,2,4,6,0,27,0,9,10,0,12,3,7,34,7,0,0,0,28,3,0,2,0,0,0,0,73,38,17,8,2,94,47
KO:K01565,9,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
KO:K01569,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0
KO:K01571,33,6,0,5,17,9,51,0,86,29,83,90,0,0,0,21,0,5,5,50,26,0,0,0,0,0,16,23,59,122,3,5
KO:K01572,6,0,0,0,8,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,50,0,0,5,5
KO:K01574,29,51,0,0,22,0,22,0,10,6,0,18,0,0,0,0,0,0,10,4,5,0,0,0,0,0,7,0,14,17,11,19
KO:K01575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0
KO:K01576,168,84,52,0,55,0,0,31,168,67,5,0,156,96,0,20,25,46,19,8,12,0,0,3,0,118,197,89,44,17,75,39
KO:K01577,801,455,149,45,393,0,22,202,397,456,50,6,139,355,0,101,120,239,77,66,66,0,8,14,6,246,325,259,58,57,316,530
KO:K01578,75,13,0,0,3,0,3,0,35,14,16,17,28,7,0,45,0,0,0,16,8,0,0,0,0,9,29,3,24,0,10,97
KO:K01579,302,132,13,91,42,95,92,26,208,97,184,88,0,17,0,12,87,82,112,76,80,354,0,0,0,47,224,123,164,109,54,146
KO:K01580,7,0,0,0,11,0,0,0,20,0,0,10,0,11,0,3,0,0,0,0,0,0,0,0,0,0,8,11,10,5,6,8
KO:K01581,894,522,151,59,336,71,31,272,526,459,161,191,153,269,84,148,166,171,256,256,103,0,0,10,3,219,182,349,146,169,245,596
KO:K01582,14,4,0,0,0,0,5,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,9,5,0,21
KO:K01583,156,106,6,6,146,0,0,30,19,57,0,0,0,19,0,0,21,34,32,19,0,0,2,4,3,103,37,46,0,3,115,149
KO:K01584,724,567,177,29,239,10,29,222,461,450,0,0,91,319,0,10,97,79,300,65,38,0,27,6,3,198,468,599,84,34,236,503
KO:K01585,1807,767,343,41,710,36,0,354,1188,780,53,30,230,848,11,128,393,330,337,346,68,0,17,31,11,243,596,505,170,118,272,528
KO:K01586,544,193,58,12,248,24,42,34,373,147,69,16,0,245,0,57,272,292,191,201,19,153,0,9,0,174,267,260,113,91,111,303
KO:K01587,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K01588,131,98,0,0,97,5,11,4,67,5,30,0,0,19,0,22,14,28,36,12,4014,113,0,8,0,50,66,46,64,47,48,133
KO:K01589,85,44,0,2,130,33,26,9,81,20,106,16,0,12,0,21,17,14,74,61,0,0,0,21,0,56,46,61,96,44,35,43
KO:K01591,105,39,0,10,110,27,0,38,85,37,27,11,11,57,32,11,31,75,74,105,24,203,0,13,4,51,76,65,74,16,41,70
KO:K01592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K01593,66,20,25,4,83,0,0,0,5,4,12,0,38,23,0,0,29,58,9,0,11,0,0,0,0,7,10,0,18,21,0,12
KO:K01595,386,63,9,18,250,128,0,10,281,170,83,13,0,54,0,3,34,62,176,90,34,191,0,7,0,44,107,122,47,43,94,189
KO:K01596,2752,887,387,346,912,594,618,391,1230,1068,1134,1249,170,467,120,394,399,858,627,918,333,224,15,38,31,734,1120,997,803,1021,548,1585
KO:K01597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,4
KO:K01598,8,0,0,0,6,0,0,0,7,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,7,6,0
KO:K01599,557,200,111,47,192,62,33,171,343,100,16,109,140,276,0,90,190,177,185,198,70,89,7,17,0,162,622,338,193,301,131,196
KO:K01601,537,151,190,32,186,16,14,123,353,260,17,59,367,380,14,172,441,270,307,224,118,82,24,5,12,152,223,285,91,50,107,243
KO:K01602,243,39,46,0,75,0,0,22,133,74,0,0,111,170,0,39,157,108,108,106,42,0,8,5,7,126,122,80,21,20,39,59
KO:K01607,626,386,385,61,310,42,43,207,461,180,36,50,421,341,21,239,214,111,200,139,135,3,21,4,2,429,556,415,230,257,218,301
KO:K01608,91,305,47,0,176,0,0,25,127,161,24,0,121,77,0,10,0,78,116,9,3,0,3,28,0,149,54,109,5,0,74,341
KO:K01609,177,37,38,12,138,5,0,0,91,12,10,18,17,103,0,59,8,17,64,22,7,159,0,4,0,39,63,78,33,40,25,107
KO:K01610,2414,707,268,164,688,146,237,288,1474,789,724,742,196,767,22,275,476,791,421,690,167,0,10,49,29,232,736,590,246,525,320,483
KO:K01611,1258,236,120,45,271,22,130,228,906,416,129,28,268,224,0,19,88,98,207,121,24,9,8,15,0,246,288,412,171,123,3760,431
KO:K01612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
KO:K01613,458,149,35,30,125,189,44,28,451,525,138,125,54,155,110,90,75,316,359,306,153,148,4,2,24,77,218,198,150,235,149,295
KO:K01615,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,55,0,0,0,0
KO:K01616,0,0,5,0,142,0,39,0,0,7,61,24,0,0,0,0,0,6,4,0,5,0,0,0,0,3,8,29,17,29,43,71
KO:K01617,74,60,19,0,28,0,0,0,0,5,0,0,0,6,0,0,0,15,88,0,6,0,3,12,0,66,30,36,13,6,35,51
KO:K01619,119,29,9,29,95,159,120,4,19,31,120,147,6,206,0,15,15,113,10,55,40,2,0,7,0,55,54,41,115,118,33,61
KO:K01620,361,138,101,65,122,115,31,13,72,38,22,71,71,53,0,133,45,98,98,97,61,0,0,11,0,200,310,173,113,101,153,143
KO:K01621,1168,557,231,29,574,0,30,261,1064,530,41,28,471,495,0,126,289,316,195,297,150,430,12,14,2,473,767,695,224,181,202,372
KO:K01622,507,70,99,0,110,8,0,105,473,230,32,38,105,73,0,144,93,188,79,52,35,0,6,3,29,146,535,316,63,65,89,145
KO:K01623,1214,328,152,104,286,119,96,206,402,473,121,73,191,428,84,229,244,315,113,98,176,0,23,4,42,277,508,357,256,150,228,421
KO:K01624,1646,210,29,113,290,423,277,53,518,338,870,626,129,164,0,14,128,151,130,581,4,134,0,38,2,106,198,273,104,353,84,474
KO:K01625,121,59,3,0,53,0,0,0,123,15,0,0,12,9,0,0,5,34,651,45,12,0,0,44,0,107,46,144,69,26,65,62
KO:K01626,1138,310,171,74,6268,71,77,77,528,232,270,227,196,246,17,54,271,312,418,368,60,141,3,27,4,108,542,421,270,244,156,528
KO:K01627,721,266,44,57,504,0,0,72,796,338,18,6,49,209,0,28,77,235,241,103,151,384,11,6,4,158,286,181,155,99,149,372
KO:K01628,141,37,32,21,13,0,1446,30,113,23,173,83,30,109,0,130,611,40,7,284,13,0,0,9,8,20,99,27,21,46,25,32
KO:K01630,20,0,0,0,0,0,0,21,4,35,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,21,7,2,8,16
KO:K01631,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,98,0,0,36,0
KO:K01633,110,87,6,16,41,40,26,0,19,13,82,34,6,15,0,18,20,40,80,59,13,27,0,4,0,56,89,92,58,16,7,42
KO:K01635,93,36,13,0,24,0,0,3,22,13,19,0,29,46,0,9,23,20,40,51,0,0,0,14,0,9,45,26,8,13,19,15
KO:K01637,6029,2798,297,1028,1169,414,78,110,1254,2785,935,425,149,850,184,262,750,1376,1854,2276,1399,0,3,450,25,732,1259,1964,1161,691,221,2944
KO:K01638,2570,969,118,295,725,528,231,175,2256,911,542,308,112,743,138,93,698,879,821,21809,238,16,5,133,29,389,868,784,534,438,283,1020
KO:K01639,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0
KO:K01640,553,75,24,15,60,138,10,37,279,54,204,111,76,187,0,6,106,132,261,197,49,0,0,30,3,124,219,145,53,109,80,135
KO:K01641,236,84,55,64,136,0,17,94,130,92,83,73,0,64,0,270,104,159,55,61,18,0,0,3,28,56,126,40,102,72,101,109
KO:K01643,69,0,0,0,0,0,0,0,7,0,0,0,0,19,0,0,44,30,0,0,0,0,0,0,0,0,18,0,6,0,0,0
KO:K01644,263,58,43,105,160,69,227,138,303,126,158,97,22,71,0,345,22,78,233,92,78,0,0,0,41,92,308,167,226,254,191,225
KO:K01647,6379,1663,451,415,1745,1003,806,9324,3821,2074,2060,1019,461,1801,69,386,3494,1614,1404,1933,245,131,10,112,10,977,4033,3263,909,845,861,1915
KO:K01648,3,0,0,0,0,0,139,0,0,0,11,266,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,2,0,93,0,0
KO:K01649,5273,1375,467,393,2958,679,365,418,2528,1761,1178,525,441,2197,120,710,11964,2477,1018,1543,282,169,30,99,41,891,2529,1474,1823,1191,825,1883
KO:K01652,9476,2879,1125,429,3876,349,317,884,8221,3110,1125,513,1006,3081,171,631,2549,3303,1486,1764,555,121,23,113,36,4725,3953,2937,1854,1424,1910,4242
KO:K01653,23383,600,158,139,906,151,140,43,4871,675,239,185,269,200398,11,92,981,938,362,484,36,112,6,49,5,393,903,500,355,373,256,831
KO:K01654,152,49,35,37,146,0,0,60,123,95,9,25,88,147,0,9,39,7,59,119,54,295,0,0,5,36,39,80,5,27,40,94
KO:K01655,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,7,0,64,0,0
KO:K01657,610,238,32,13,376,6,16,25,306,117,67,11,20,318,0,22,142,118,198,121,50,186,0,18,4,62,255,223,48,31,86,444
KO:K01658,160,95,10,21,110,0,9,13,207,67,21,0,0,82,0,44,36,52,57,92,29,62,0,8,0,10,86,71,27,14,17,109
KO:K01659,211,111,4,3,27,0,0,12,256,139,23,21,39,35,0,7,22,72,229,112,0,0,0,39,0,62,57,205,28,0,19,117
KO:K01661,42,0,0,16,56,0,29,0,0,10,119,37,0,0,0,31,14,8,0,20,3,45,0,0,0,4,49,18,11,62,21,24
KO:K01662,1208,457,112,205,560,173,190,115,1957,480,476,296,153,328,89,203,365,357,360,380,127,102,17,33,0,242,502,404,206,302,294,593
KO:K01663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
KO:K01664,0,0,0,0,23,0,0,0,0,21,7,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,25,18
KO:K01665,192,17,0,0,26,11,9,0,0,4,0,10,6,20,0,0,0,12,29,12,12,0,0,0,0,18,0,5,5,11,0,0
KO:K01666,24,0,0,7,38,0,0,7,15,0,25,0,0,0,0,0,0,11,0,50,0,0,0,0,0,0,3,9,0,0,0,0
KO:K01667,287,4,0,10,22,8,0,3,172,11,0,0,0,19,0,17,4,28,14,31,0,0,0,0,0,44,711,307,28,23,14,41
KO:K01668,54,0,0,0,4,0,0,0,58,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,124,68,0,3,0,0
KO:K01669,18,11,33,30,68,0,0,0,0,5,0,9,0,11,0,6,0,19,57,7,22,43,6,0,5,5,46,5,12,16,16,21
KO:K01672,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K01673,1519,563,44,59,569,98,87,25,711,657,92,153,41,762,0,14,365,380,506,628,37,0,0,282,8,166,499,310,134,163,5001,545
KO:K01674,31,15,4,4,10,0,0,5,594,62,0,0,0,6,0,0,4,15,29,26,0,0,0,0,0,49,8,7,0,0,25,12
KO:K01676,759,311,59,31,441,180,52,33,520,205,244,96,33,397,14,28,297,205,191,185,64,105,0,16,0,57,409,413,257,150,72,269
KO:K01677,23938,64,55,53,33,83,10,33,135,116,72,16,0,73,23,45,93,72,16,20,23,0,0,12,0,86,105,130,146,91,38,136
KO:K01678,33,29,10,0,0,0,0,0,36,43,0,0,0,10,0,0,9,8,5,0,2,0,0,0,0,32,17,75,35,25,15,46
KO:K01679,414,123,47,19,226,34,42,63,242,163,166,79,61,89,47,98,110,42,263,270,48,0,0,0,2,157,312,259,226,199,129,213
KO:K01681,4903,1370,287,688,1594,2246,865,258,2570,7438,3864,1395,305,1166,91,331,2196,1822,1197,1950,198,2,10,88,45,834,1770,1519,1241,1551,627,1516
KO:K01682,1569,537,10,6,316,0,0,0,1007,229,49,106,9,330,23,0,28,339,698,334,0,154,0,150,0,70,412,551,123,59,44,372
KO:K01683,12,0,7,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,0,0,0,0,0,10,0,0,4,0,15,0
KO:K01684,489,61,49,0,38,0,0,101,282,62,95,61,100,121,0,34,66,61,64,23,31,3,11,0,0,43,37,2584,0,14,87,39
KO:K01685,254,122,61,13,192,33,9,63,168,72,8,17,15,117,0,23,32,41,82,26,73,0,9,0,0,27,131,103,58,93,60,311
KO:K01686,27,22,4,3,155,0,0,21,30,10,0,23,13,25,0,9,11,18,24,33,16,0,0,0,0,35,17,51,7,0,105,93
KO:K01687,3411,1213,164,248,1220,427,80,169,1552,596,879,230,203,1485,45,196,1590,1455,1232,567,132,361,0,33,6,557,1654,553,729,678,373,801
KO:K01689,1313,452,112,48,503,437,148,91,749,380,624,412,112,278,0,121,193,196,287,475,57,109,0,35,9,246,4901,581,240,370,224,740
KO:K01690,181,38,4,0,46,3,0,0,26795,24,14,11,0,0,11,14,0,30,112,27,18,0,0,19,0,96,188,130,85,58,169,129
KO:K01692,1403,167,96,22,421,164,101,45,317,162,105,45,122,94,0,45,44,54,1251,105,113,0,0,51,14,123,492,256,1059,155,274,349
KO:K01693,608,278,67,84,157,110,95,25,218,96,165,67,0,188,0,221,114,112,104,265,168,217,4,8,2,89,203,232,300,289,92,234
KO:K01694,17,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
KO:K01695,438,175,14,20,107,38,25,0,182,134,38,29,49,70,0,3,24,74,111,56,7,41,2,31,0,60,117,134,73,67,43,192
KO:K01696,723,319,32,14,266,45,25,11,331,188,109,44,35,161,0,45,83,119,204,94,45,147,0,3,4,137,338,239,160,131,154,601
KO:K01697,419,82,39,32,288,151,88,21,187,123,227,195,59,172,51,15,176,109,208,472,67,4,0,3,0,59,150,63,135,138,98,132
KO:K01698,472,196,73,68,266,34,32,43,296,126,154,12,66,148,15,77,154,162,147,75,75,219,0,7,2,167,315,184,200,182,107,285
KO:K01699,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
KO:K01702,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
KO:K01703,7762,745,354,702,2443,435,167,157,2985,870,11640,252,169,3638,614,384,3805,2918,622,1582,227,114,14,72,23,689,3505,1750,1326,984,516,1208
KO:K01704,3113,333,87,298,850,150,63,44,1233,331,187,100,16,1031,166,145,1069,982,297,440,117,179,0,30,3,215,1659,684,423,252,147,434
KO:K01705,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,3,0,12
KO:K01706,36,18,5,9,14,0,0,15,7,14,0,0,0,9,0,0,5,0,6,0,6,0,0,0,0,9,113,17,5,14,21,28
KO:K01707,22,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,3,0,0,0,0
KO:K01708,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,17,5,3,0,0,19,0,0,3,0,5,0,0,26
KO:K01709,72,38,3,6,12,0,0,19,51,26,7,0,15,13,0,10,0,5,43,27,3,0,0,0,0,33,26,42,8,6,11,31
KO:K01710,999,506,107,127,394,289,122,90,627,264,523,149,64,280,0,134,159,248,396,270,71,135,3,27,12,200,373,304,274,210,140,465
KO:K01711,1567,417,112,85,608,73,56,125,497,399,2670,61,135,413,44,106,307,278,432,265,120,0,4,48,7,177,393,271,296,225,115,420
KO:K01712,315,233,21,2,100,47,12,74,191,136,57,9,88,198,0,4,79,114,338,7,11,0,5,56,6,146,109,97,104,67,107,94
KO:K01713,5,0,0,0,12,0,0,0,65,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,9,7
KO:K01714,2216,1053,365,95,865,127,65,294,1276,730,408,110,372,708,47,98,406,547,699,618,143,178,15,58,3,729,1170,925,510,407,637,1275
KO:K01715,273,64,32,14,65,28,0,42,98,49,0,0,0,26,0,26,23,37,25,34,14,0,0,0,0,50,162,178,30,29,43,94
KO:K01716,227,111,9,22,30,0,0,19,156,53,85,23,0,78,0,29,99,85,282,301,0,0,0,35,0,55,84,114,94,63,32,98
KO:K01719,945,122,25,42,381,18,7,37,697,444,12,46,122,601,11,62,299,297,111,97,23,46,4,0,0,65,340,190,158,111,70,163
KO:K01720,204,109,65,16,47,64,95,30,47,173,148,202,132,39,0,92,74,78,46,108,68,0,0,5,0,74,95,89,76,69,10,72
KO:K01721,197,83,25,6,141,9,4,24,215,137,0,0,120,28,0,7,29,18,13,30,27,0,5,0,0,108,106,124,42,61,65,184
KO:K01724,1694,262,30,56,152,4,50,81,317,258,209,155,110,245,0,206,282,183,568,363,112,47,0,114,6,139,264,283,196,190,113,133
KO:K01725,1647,141,14,37,412,0,5,0,11386,247,26,14,0,637,0,138,483,523,248,131,19,0,0,190,4,0,619,317,106,10,7,161
KO:K01727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0
KO:K01728,80,51,136,0,43,0,27,49,145,51,0,0,168,11,0,0,48,5,17,0,7,17,42,0,0,37,10,6,34,14,91,22
KO:K01729,0,0,0,3,7,0,0,0,32,0,0,24,0,5,0,0,0,17,83,113,0,0,0,0,0,0,0,5,1,15,5,7
KO:K01730,0,0,5,0,16,0,0,0,22,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
KO:K01733,4331,576,182,94,648,248,155,180,1755,482,450,240,352,1071,12,652,698,731,366,592,166,57,12,35,48,344,1053,575,459,736,234,501
KO:K01734,51,8,0,0,33,0,0,0,0,0,9516,45,0,0,0,6,25,5,23,0,14,0,0,4,0,18,15,49,48,53,17,18
KO:K01735,472,143,19,6,188,21,25,4,308,74,140,16,22,100,0,38,44,98,167,146,23,16,10,7,0,59,147,89,93,84,59,104
KO:K01736,452,215,66,46,139,4,54,65,252,51,119,28,109,124,35,60,98,95,131,133,76,26,0,0,9,158,378,229,467,295,152,242
KO:K01737,2151,407,34,29,267,44,18,29,722,153,78,478,0,248,0,281,171,965,97,573,49,425,0,189,197,84,254,135,182,171,176,758
KO:K01738,1967,428,89,208,25166,295,186,5668,761,498,414,189,180,295,101,234,334,639,425,604,367,16,4,11,53,498,1464,898,610,241,371,503
KO:K01739,752,76,36,48,282,56,38,3,291,41,135,54,4,97,0,48,195,307,84,34,43,44,8,0,0,106,416,140,133,111,75,71
KO:K01740,732,204,82,37,246,64,125,147,220,125,104,13,159,181,22,49,244,181,77,293,77,135,0,3,7,189,343,393,173,135,191,272
KO:K01744,651,401,107,14,531,92,21,180,485,350,208,103,124,342,0,86,86,137,91,122,79,0,0,3,0,201,429,517,102,26,241,474
KO:K01745,59,32,0,3,55,13,0,12,77,4,26,0,3,17,0,18,13,30,173,9,0,0,0,40,0,44,41,29,14,22,33,65
KO:K01746,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
KO:K01749,298,68,11,20,126,113,70,25,216,35,69,22,0,58,0,113,71,41,93,166,125,101,0,3,0,77,110,76,121,156,52,120
KO:K01750,105,46,33,95,80,17,58,88,198,74,42,7,7,123,70,70,85,100,213,176,258,0,0,0,16,68,49,76,70,77,59,84
KO:K01751,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,3
KO:K01752,1539,1246,773,5,733,50,4,743,1465,1473,34,10,655,532,0,83,69,349,452,80,70,0,78,75,15,939,941,1373,55,57,783,975
