Feature,3300044942_P34SSC2_190917_f,3300044943_P34SSC2_190917_i,3300044944_P34SSC2_190917_c,3300044945_P34SSC2_191111_f,3300045458_P15SSC1_190915_i,3300045459_P15SSC1_191107_f,3300045460_P15SSC1_191107_i,3300045461_P24SSC2_190915_c,3300045462_P24SSC2_190915_f,3300045463_P24SSC2_190915_i,3300045464_P24SSC2_191109_c,3300045465_P24SSC2_191109_i,3300045466_P26SSC2_190918_c,3300045467_P26SSC2_190918_f,3300045468_P26SSC2_190918_i,3300045469_P26SSC2_191112_c,3300045470_P26SSC2_191112_f,3300045471_P35SSC1_191108_f,3300045472_P35SSC1_191108_i,3300045473_P26SSC2_191112_i,3300046191_P34SSC2_191111_c,3300048051_P15SSCI_191107_c,3300048052_P35SSC1_190914_c,3300048053_P35SSC1_190914_i,3300048054_P35SSC1_191108_c,3300048092_P11SSC1_190916_c,3300048093_P11SSC1_190916_f,3300048094_P11SSC1_190916_i,3300048095_P11SSC1_191119_f,3300048096_P11SSC1_191119_i,3300048099_P15SSC1_190912_c,3300048100_P15SSC1_190913_f
KO:K00040,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
KO:K00041,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
KO:K00042,254,220,30,0,142,0,7,47,150,69,11,0,39,88,0,9,0,44,105,0,13,0,0,0,0,170,201,235,54,33,99,125
KO:K00045,0,0,0,0,0,0,11,0,0,0,8,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,26,90,152
KO:K00046,72,44,35,5,37,0,0,13,16,12,0,0,0,48,0,27,15,8,5,29,25,10,0,0,0,27,63,59,90,98,22,90
KO:K00048,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00050,85,29,9,3,19,25,0,0,75,13,10,0,55,31,20,21,18,5,63,8,13,0,3,5,0,8,10,42,24,22,20,70
KO:K00052,1728,374,123,64,497,200,57,70,658,285,270,106,95,475,24,66,421,506,241,288,31,116,10,16,0,311,774,390,224,207,170,469
KO:K00053,27063,1156,326,442,2676,535,442,417,3107,1835,1000,435,175,2193,104,284,2479,2885,900,990,105,112,52,37,13,1021,2681,1352,1128,761,903,2107
KO:K00054,415,21,0,9,91,0,0,0,65,30,0,0,0,77,0,16,27,45,0,21,0,0,0,0,0,4,50,12,51,25,22,44
