"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KO:K00001",75.5695474998114,-0.0474883926191341,0.537321223723429,-0.0883798936696709,0.929574741281735,0.959323239091091
"KO:K00002",1.33950888823016,-2.57836330318292,2.95298351330474,-0.873138401066596,NA,NA
"KO:K00003",75.363265623648,0.265676080116367,0.477796986716995,0.556043858589109,0.57818087271764,0.746066253605907
"KO:K00004",2.02984306468287,0.832921752987092,1.48558929187594,0.560667579890343,0.575024172216127,NA
"KO:K00005",0.310688022575865,1.28549629897159,2.96342557958714,0.433787272346715,0.66444292489745,NA
"KO:K00006",2.21542328222881,-0.347330001469583,2.94835931822898,-0.117804502091087,0.906222562237807,NA
"KO:K00007",0.086910669480936,0.46566299741042,2.97287160359535,0.156637439991439,0.875530593896969,NA
"KO:K00008",97.0675965232775,-1.51461456256478,0.496234433480038,-3.05221576814603,0.00227158749726664,0.0165885066934662
"KO:K00009",19.1140745114698,-6.5361101604588,1.62962474139752,-4.01080690199488,6.05115863634991e-05,0.000984393842449065
"KO:K00010",15.7511060599252,-0.977432263055915,0.816892519323833,-1.19652492823042,0.23149177660744,0.427549941184749
"KO:K00011",0.285185209854295,-0.607312475361672,2.96966093570867,-0.204505661928959,0.837958367912744,NA
"KO:K00012",285.206826693076,-0.337883989127991,0.297809404534653,-1.13456453685859,0.256557818967936,0.455602676568791
"KO:K00013",75.6972222850084,0.133526159685143,0.564528893335536,0.236526706181856,0.81302398655358,0.896614755961236
"KO:K00014",58.1391339819657,-1.49581618878725,0.766442721129697,-1.95163467216767,0.0509815937155005,0.158648102048919
"KO:K00015",36.7991645212292,1.36767187724987,0.755576901080893,1.81010281718954,0.0702798441953641,0.194318684453756
"KO:K00016",9.55495284563936,0.552505938997119,0.780397676006503,0.707979990181973,0.478957683675267,0.662612289712456
"KO:K00018",4.93536347952415,1.14306626605844,0.896528838539738,1.27499107326013,0.202312401615353,0.388218215632621
"KO:K00019",78.3011008145307,1.37625254167808,0.488239190737828,2.81880801006221,0.00482023397741921,0.0285500542296501
"KO:K00020",74.8220996422423,1.33586143918045,0.455057568855281,2.93558778187312,0.00332916401497494,0.0221377256762202
"KO:K00021",5.49804092755795,0.270514926909787,1.11636044024875,0.242318625021781,0.808533283076658,0.894200374438352
"KO:K00022",0.506352594499021,1.88089004066546,2.95918540614158,0.635610745025237,0.525030164282986,NA
"KO:K00023",199.176997556052,0.825933687124223,0.427722658398407,1.9310028844787,0.0534826957061607,0.163362064671626
"KO:K00024",898.218200172182,1.46388475230411,0.550192401970482,2.660677877523,NA,NA
"KO:K00025",0.352275570870702,1.1888752439979,2.96346490974568,0.401177432568261,0.688289494653529,NA
"KO:K00026",27.8815895867361,-4.77697575634846,1.58058367130108,-3.02228590810142,0.00250873473506194,0.0178551354971986
"KO:K00027",131.965869152158,-0.781956776943095,0.423313575121913,-1.84722820835097,0.0647140727393587,0.184665686031498
"KO:K00029",159.018152079917,0.917970259418697,0.467156276411667,1.96501750221539,0.04941221186304,0.155623690740244
"KO:K00030",58.0074949394638,-0.0665813756307918,0.557998280893476,-0.119321829314923,0.905020389755009,0.949854349155315
"KO:K00031",690.933366690663,-0.498762954011398,0.279209987929819,-1.78633636178074,0.0740448127790145,0.200609143320988
"KO:K00032",0.324274092242988,1.39233341062424,2.9628370076967,0.469932502870497,0.638403241698071,NA
"KO:K00033",127.150287566532,-0.243404109611977,0.449438607250269,-0.541573655857379,0.588112244121646,0.753809714238227
"KO:K00034",83.1447547511298,2.54669838841221,0.651751396078919,3.90746901922069,9.32679960881935e-05,0.00140533469363824
"KO:K00035",1.32741678063198,0.705107357693896,2.83322445923822,0.248870983516598,0.803460581034528,NA
"KO:K00036",233.653077724686,-0.539162581152878,0.29622255220909,-1.8201267159845,0.0687397099770645,0.191217340497504
"KO:K00038",5.60297770553437,0.832372222300346,1.0448283536577,0.79665929756443,0.42564892885082,0.616072600143896
"KO:K00039",1.09183337823185,0.746473482426156,2.95348860952657,0.252742969794561,0.800466840508178,NA
"KO:K00040",0.0618061127646939,0.370870564484172,2.973080570503,0.124742857009565,0.900727127382385,NA
"KO:K00041",0.38108782979737,1.63394835261712,2.96091661994105,0.551838691306901,0.581058875982725,NA
"KO:K00042",34.2826622933989,2.26680413931225,0.708579980489328,3.1990801345345,0.00137866841772367,0.011522632371984
"KO:K00045",9.70476931527251,-1.40878429333709,2.09501109557431,-0.67244717525035,0.501299058676829,0.68328632205932
"KO:K00046",18.0013361502554,-0.245045923589198,0.719430961081923,-0.340610756062935,0.733396630999593,0.848411848686513
"KO:K00048",0.0376329005433813,-0.130499138506475,2.97504046831453,-0.0438646599588636,0.965012285439458,NA
"KO:K00050",18.6523056666525,0.85949641704289,0.598747419897077,1.43549080710967,0.15114728608579,0.317635934542456
"KO:K00052",175.183190483828,0.0540444678806088,0.291506192048102,0.185397323812905,0.852917407324595,0.920898083641726
"KO:K00053",779.867971184383,0.429248778314272,0.336456770210354,1.27579176975962,0.202029137707887,0.388083383135234
"KO:K00054",11.5022468975874,0.698413722168133,0.95982474485443,0.727647131325059,0.466829621423016,0.651772850753054
"KO:K00055",26.3805857437968,-2.32149909211646,0.901530136490498,-2.57506543392289,0.0100221124619286,0.0494858777930456
"KO:K00057",4565.65869343596,-2.09763988346842,0.948470287972667,-2.2116031572819,NA,NA
"KO:K00058",219.474616056221,0.263445137191587,0.380654612274908,0.692084447938668,0.488884297671549,0.671501839696617
"KO:K00059",868.203024169292,-0.0731019059177426,0.211107751516737,-0.346277696543734,0.729134028568107,0.84599160543361
"KO:K00060",13.2957159254974,0.280353618212378,0.603069259123265,0.464877978724953,0.642018841269775,0.79144677184948
"KO:K00064",6.32886162164146,-0.0441302088598746,1.10791018253277,-0.0398319372415096,0.968227114191475,0.984161674787653
"KO:K00065",22.1835115735175,0.587332836323096,0.681786875110467,0.861461048554114,0.3889841652778,0.58476002403973
"KO:K00066",138.741230075045,-0.602649195207363,0.419401596027333,-1.43692632769115,0.150738928163227,0.317456673155292
"KO:K00067",64.0790551745186,-0.53076758618258,0.654758215509994,-0.810631426394799,0.417577363943035,0.610808255857031
"KO:K00068",0.0413341453373336,0.198482289568774,2.97522153832062,0.0667117681867847,0.946811165526362,NA
"KO:K00073",0.41549670878139,2.15424170260169,2.9530291651042,0.729502345611163,0.465694433494733,NA
"KO:K00074",150.97195110729,-0.177254014203134,0.343142639129929,-0.5165607359452,0.605462830706741,0.768600634461517
"KO:K00075",43.6485055198885,0.0451185634570448,0.626614989417906,0.0720036453308558,0.942599006829116,0.968376312626248
